artifact_id,image,rank,source_type,accession_number,score,oxford_type,oxford_image,pitts_description,oxford_description,reasons
fig_001,fig_001.jpg,1,plaque,1908.65.1,24,plaque,1908.65.1.png,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Brass plaque with relief decoration depicting a leopard skin,same primary type: plaque | shared feature: leopard
fig_001,fig_001.jpg,2,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_001,fig_001.jpg,3,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_001,fig_001.jpg,4,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_001,fig_001.jpg,5,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_002,fig_002.jpg,1,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_002,fig_002.jpg,2,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_002,fig_002.jpg,3,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_002,fig_002.jpg,4,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_002,fig_002.jpg,5,plaque,1900.39.2,20,plaque,1900.39.2_1.png,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Brass relief plaque depicting a fish,same primary type: plaque
fig_003,fig_003.jpg,1,plaque,1908.65.1,24,plaque,1908.65.1.png,"Bronze plaque, representing three warriors, two with feathers in head-dress The latter and trefoil leaves at top ; one with pot helmet, button on top. has a coral choker, badge of rank, and aU have leopards' teeth necklaces. Two have hands on The central figure has a cylindrical case on shoulder. All three have leopards' heads on breast, and quad- their sword-hilts. rangular bells hanging from neck. Leopards' skins and other objects hang on left sides. Ground ornamented with foil ornaments incised.",Brass plaque with relief decoration depicting a leopard skin,same primary type: plaque | shared feature: leopard
fig_003,fig_003.jpg,2,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, representing three warriors, two with feathers in head-dress The latter and trefoil leaves at top ; one with pot helmet, button on top. has a coral choker, badge of rank, and aU have leopards' teeth necklaces. Two have hands on The central figure has a cylindrical case on shoulder. All three have leopards' heads on breast, and quad- their sword-hilts. rangular bells hanging from neck. Leopards' skins and other objects hang on left sides. Ground ornamented with foil ornaments incised.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_003,fig_003.jpg,3,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, representing three warriors, two with feathers in head-dress The latter and trefoil leaves at top ; one with pot helmet, button on top. has a coral choker, badge of rank, and aU have leopards' teeth necklaces. Two have hands on The central figure has a cylindrical case on shoulder. All three have leopards' heads on breast, and quad- their sword-hilts. rangular bells hanging from neck. Leopards' skins and other objects hang on left sides. Ground ornamented with foil ornaments incised.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_003,fig_003.jpg,4,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, representing three warriors, two with feathers in head-dress The latter and trefoil leaves at top ; one with pot helmet, button on top. has a coral choker, badge of rank, and aU have leopards' teeth necklaces. Two have hands on The central figure has a cylindrical case on shoulder. All three have leopards' heads on breast, and quad- their sword-hilts. rangular bells hanging from neck. Leopards' skins and other objects hang on left sides. Ground ornamented with foil ornaments incised.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_003,fig_003.jpg,5,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, representing three warriors, two with feathers in head-dress The latter and trefoil leaves at top ; one with pot helmet, button on top. has a coral choker, badge of rank, and aU have leopards' teeth necklaces. Two have hands on The central figure has a cylindrical case on shoulder. All three have leopards' heads on breast, and quad- their sword-hilts. rangular bells hanging from neck. Leopards' skins and other objects hang on left sides. Ground ornamented with foil ornaments incised.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_004,fig_004.jpg,1,plaque,1908.65.1,24,plaque,1908.65.1.png,"Bronze plaque, figure of warrior with spear in right hand, shield on left Head-dress of coral or agate, similar to that represented in shoulder. Plate XXI, Fig. 121. anklets. Quadrangular bell hanging from neck. Chain-like Coral choker, badge of rank, and leopards' teeth necklace. A nude attendant on right upholds a large broad leaf-shaped sword, with a Another holds two sistri or bells fastened ring attached to pommel. together by a chain. Small figure on left is blowing an elephant's tusk Figures above in profile are holding up tablets or books. trumpet. dress of one of them is fastened with tags or loops of unusual form. figures have Roman noses, and are evidently not negro. mented with the usual foil ornament incised. These Ground orna- The PLATE 1. B2 Antique Works of Art from Benin.",Brass plaque with relief decoration depicting a leopard skin,same primary type: plaque | shared feature: leopard
fig_004,fig_004.jpg,2,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, figure of warrior with spear in right hand, shield on left Head-dress of coral or agate, similar to that represented in shoulder. Plate XXI, Fig. 121. anklets. Quadrangular bell hanging from neck. Chain-like Coral choker, badge of rank, and leopards' teeth necklace. A nude attendant on right upholds a large broad leaf-shaped sword, with a Another holds two sistri or bells fastened ring attached to pommel. together by a chain. Small figure on left is blowing an elephant's tusk Figures above in profile are holding up tablets or books. trumpet. dress of one of them is fastened with tags or loops of unusual form. figures have Roman noses, and are evidently not negro. mented with the usual foil ornament incised. These Ground orna- The PLATE 1. B2 Antique Works of Art from Benin.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_004,fig_004.jpg,3,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, figure of warrior with spear in right hand, shield on left Head-dress of coral or agate, similar to that represented in shoulder. Plate XXI, Fig. 121. anklets. Quadrangular bell hanging from neck. Chain-like Coral choker, badge of rank, and leopards' teeth necklace. A nude attendant on right upholds a large broad leaf-shaped sword, with a Another holds two sistri or bells fastened ring attached to pommel. together by a chain. Small figure on left is blowing an elephant's tusk Figures above in profile are holding up tablets or books. trumpet. dress of one of them is fastened with tags or loops of unusual form. figures have Roman noses, and are evidently not negro. mented with the usual foil ornament incised. These Ground orna- The PLATE 1. B2 Antique Works of Art from Benin.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_004,fig_004.jpg,4,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, figure of warrior with spear in right hand, shield on left Head-dress of coral or agate, similar to that represented in shoulder. Plate XXI, Fig. 121. anklets. Quadrangular bell hanging from neck. Chain-like Coral choker, badge of rank, and leopards' teeth necklace. A nude attendant on right upholds a large broad leaf-shaped sword, with a Another holds two sistri or bells fastened ring attached to pommel. together by a chain. Small figure on left is blowing an elephant's tusk Figures above in profile are holding up tablets or books. trumpet. dress of one of them is fastened with tags or loops of unusual form. figures have Roman noses, and are evidently not negro. mented with the usual foil ornament incised. These Ground orna- The PLATE 1. B2 Antique Works of Art from Benin.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_004,fig_004.jpg,5,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, figure of warrior with spear in right hand, shield on left Head-dress of coral or agate, similar to that represented in shoulder. Plate XXI, Fig. 121. anklets. Quadrangular bell hanging from neck. Chain-like Coral choker, badge of rank, and leopards' teeth necklace. A nude attendant on right upholds a large broad leaf-shaped sword, with a Another holds two sistri or bells fastened ring attached to pommel. together by a chain. Small figure on left is blowing an elephant's tusk Figures above in profile are holding up tablets or books. trumpet. dress of one of them is fastened with tags or loops of unusual form. figures have Roman noses, and are evidently not negro. mented with the usual foil ornament incised. These Ground orna- The PLATE 1. B2 Antique Works of Art from Benin.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_005,fig_005.jpg,1,plaque,1908.65.1,24,plaque,1908.65.1.png,"Bronze plaque, representing a warrior in centre, turned to his left. He has a beard and a necklace of leopards' teeth, but no coral choker. He has a high helmet, somewhat in the form of a grenadier cap. Quad- Dagger in sheath on right side, and various rangular bell on neck. He holds a narrow leaf-shaped appurtenances hanging from his dress. sword in his right hand over an enemy who has fallen, and who has The victim has a already a leaf-shaped sword thrust through his body. sword-sheath on left side, with broad end, and a peculiar head-dress. His horse is represented below with an attendant holding it by a chain and On the right of the conqueror is a small figure blowing a tusk trumpet, and on his right a larger figure carrying a shield in his left hand and a cluster of weapons. He has a high helmet, ornamented with representations of cowrie shells of nearly Above are two figures, one the same form as that of the central figure. blowing what appears to be a musical instrument and the other carrying a barbed pointed implement, and armed with a sword in sheath similar to The plaque appears to represent a victory of The ground carrying barbed darts in his left hand. some kind, and all the conquerors have the same high helmet. is ornamented with the usual foil ornament incised. that of the fallen warrior.",Brass plaque with relief decoration depicting a leopard skin,same primary type: plaque | shared feature: leopard
fig_005,fig_005.jpg,2,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, representing a warrior in centre, turned to his left. He has a beard and a necklace of leopards' teeth, but no coral choker. He has a high helmet, somewhat in the form of a grenadier cap. Quad- Dagger in sheath on right side, and various rangular bell on neck. He holds a narrow leaf-shaped appurtenances hanging from his dress. sword in his right hand over an enemy who has fallen, and who has The victim has a already a leaf-shaped sword thrust through his body. sword-sheath on left side, with broad end, and a peculiar head-dress. His horse is represented below with an attendant holding it by a chain and On the right of the conqueror is a small figure blowing a tusk trumpet, and on his right a larger figure carrying a shield in his left hand and a cluster of weapons. He has a high helmet, ornamented with representations of cowrie shells of nearly Above are two figures, one the same form as that of the central figure. blowing what appears to be a musical instrument and the other carrying a barbed pointed implement, and armed with a sword in sheath similar to The plaque appears to represent a victory of The ground carrying barbed darts in his left hand. some kind, and all the conquerors have the same high helmet. is ornamented with the usual foil ornament incised. that of the fallen warrior.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_005,fig_005.jpg,3,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, representing a warrior in centre, turned to his left. He has a beard and a necklace of leopards' teeth, but no coral choker. He has a high helmet, somewhat in the form of a grenadier cap. Quad- Dagger in sheath on right side, and various rangular bell on neck. He holds a narrow leaf-shaped appurtenances hanging from his dress. sword in his right hand over an enemy who has fallen, and who has The victim has a already a leaf-shaped sword thrust through his body. sword-sheath on left side, with broad end, and a peculiar head-dress. His horse is represented below with an attendant holding it by a chain and On the right of the conqueror is a small figure blowing a tusk trumpet, and on his right a larger figure carrying a shield in his left hand and a cluster of weapons. He has a high helmet, ornamented with representations of cowrie shells of nearly Above are two figures, one the same form as that of the central figure. blowing what appears to be a musical instrument and the other carrying a barbed pointed implement, and armed with a sword in sheath similar to The plaque appears to represent a victory of The ground carrying barbed darts in his left hand. some kind, and all the conquerors have the same high helmet. is ornamented with the usual foil ornament incised. that of the fallen warrior.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_005,fig_005.jpg,4,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, representing a warrior in centre, turned to his left. He has a beard and a necklace of leopards' teeth, but no coral choker. He has a high helmet, somewhat in the form of a grenadier cap. Quad- Dagger in sheath on right side, and various rangular bell on neck. He holds a narrow leaf-shaped appurtenances hanging from his dress. sword in his right hand over an enemy who has fallen, and who has The victim has a already a leaf-shaped sword thrust through his body. sword-sheath on left side, with broad end, and a peculiar head-dress. His horse is represented below with an attendant holding it by a chain and On the right of the conqueror is a small figure blowing a tusk trumpet, and on his right a larger figure carrying a shield in his left hand and a cluster of weapons. He has a high helmet, ornamented with representations of cowrie shells of nearly Above are two figures, one the same form as that of the central figure. blowing what appears to be a musical instrument and the other carrying a barbed pointed implement, and armed with a sword in sheath similar to The plaque appears to represent a victory of The ground carrying barbed darts in his left hand. some kind, and all the conquerors have the same high helmet. is ornamented with the usual foil ornament incised. that of the fallen warrior.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_005,fig_005.jpg,5,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, representing a warrior in centre, turned to his left. He has a beard and a necklace of leopards' teeth, but no coral choker. He has a high helmet, somewhat in the form of a grenadier cap. Quad- Dagger in sheath on right side, and various rangular bell on neck. He holds a narrow leaf-shaped appurtenances hanging from his dress. sword in his right hand over an enemy who has fallen, and who has The victim has a already a leaf-shaped sword thrust through his body. sword-sheath on left side, with broad end, and a peculiar head-dress. His horse is represented below with an attendant holding it by a chain and On the right of the conqueror is a small figure blowing a tusk trumpet, and on his right a larger figure carrying a shield in his left hand and a cluster of weapons. He has a high helmet, ornamented with representations of cowrie shells of nearly Above are two figures, one the same form as that of the central figure. blowing what appears to be a musical instrument and the other carrying a barbed pointed implement, and armed with a sword in sheath similar to The plaque appears to represent a victory of The ground carrying barbed darts in his left hand. some kind, and all the conquerors have the same high helmet. is ornamented with the usual foil ornament incised. that of the fallen warrior.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_007,fig_007.jpg,1,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, representing a king or noble on horseback sitting sideways, his hands upheld by attendants, one of whom has a long thin Two attendants, with helmets or hair sword in his hand in sheath. represented by ribs, are holding up shields to shelter the king from the The king or noble has a coral choker, badge of rank, with a coral Horse's head-collar hung with crotals. A The two figures above Ground ornamented with foil ornaments small attendant carries a ""manilla"" in his hand. are armed with bows and arrows. necklace hanging on breast. sun. incised. De Bry, ' ; India Orientalis,"" says that in the sixteenth century both the king and chiefs were wont to ride side-saddle upon led horses. They were supported by retainers, who held over their heads either shields or umbrellas, and accompanied by a band of musicians playing on ivory horns, gong-gongs, drums, harps, and a kind of rattle. PLATE 2. 1 Antique Works of Art from Benin.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
