artifact_id,cluster,rank,accession_number,score,pitts_description,oxford_description,section,image_file,reasons
fig_001,0,1,1900.39.7,12,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Bronze hip-ornament mask depicting a ram’s head,2.3,1900.39.7.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_001,0,2,1900.39.8,12,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Bronze hip-ornament mask depicting a crocodile’s head,2.3,1900.39.8_1.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_001,0,3,1900.39.9,12,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Bronze hip-ornament mask depicting a crocodile’s head,2.3,1900.39.9.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_001,0,4,1966.13.1,12,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Bronze head,2.7,1966.13.1_1.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_001,0,5,1975.7.2,12,"Bronze plaque, representing two warriors with broad leaf-shaped swords in their right hands. Coral or agate head-dress. Coral chokers, badge of rank. Leopards' teeth necklace. heads hanging on left sides. Coral scarf across shoulder. Leopards' Skirts each ornamented with a human head. Ground ornamented with the usual foil ornament Armlets, anklets, etc. incised.",Bronze cylindrical vessel with decoration depicting animal and human heads,2.7,1975.7.2_1.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_002,10,1,1900.39.7,12,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Bronze hip-ornament mask depicting a ram’s head,2.3,1900.39.7.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_002,10,2,1900.39.8,12,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Bronze hip-ornament mask depicting a crocodile’s head,2.3,1900.39.8_1.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_002,10,3,1900.39.9,12,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Bronze hip-ornament mask depicting a crocodile’s head,2.3,1900.39.9.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_002,10,4,1966.13.1,12,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Bronze head,2.7,1966.13.1_1.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_002,10,5,1975.7.2,12,"Bronze plaque, representing two figures holding plaques or books in front. Coral chokers, badge of rank. similar to that represented in Plate XXI, Fig. 121. Barbed objects of unknown use behind left shoulders, ornamented with straight line diaper Reticulated head-dresses of coral or agate, pattern. Ground ornamented with foil ornaments incised. Guilloche on sides of plaque.",Bronze cylindrical vessel with decoration depicting animal and human heads,2.7,1975.7.2_1.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
fig_003,0,1,1900.39.7,12,"Bronze plaque, representing three warriors, two with feathers in head-dress The latter and trefoil leaves at top ; one with pot helmet, button on top. has a coral choker, badge of rank, and aU have leopards' teeth necklaces. Two have hands on The central figure has a cylindrical case on shoulder. All three have leopards' heads on breast, and quad- their sword-hilts. rangular bells hanging from neck. Leopards' skins and other objects hang on left sides. Ground ornamented with foil ornaments incised.",Bronze hip-ornament mask depicting a ram’s head,2.3,1900.39.7.png,matched material: bronze | matched object type: head | Oxford image available | Oxford record marked confirmed_1897
